from;to;distance
1;2;45
1;MAIN_VESTIBULE;25
1;EXIT_PORTICO;45
2;4;40
2;5;45
2;SHOP;35
2;MAIN_VESTIBULE;40
4;5;35
4;6;40
5;6;45
5;11;35
5;12;45
5;SHOP;25
6;7;30
6;8;55
7;8;35
8;9;70
9;10;55
9;15;80
9;51a;135
10;11;35
11;12;35
11;14;35
12;CENTRAL_HALL;55
12;SUNLEY_ROOM;45
14;SUNLEY_ROOM;30
14;29;65
15;15a;25
15;15_STAIRS;20
15;16;35
15;29;75
15a;15_STAIRS;20
15a;16;25
15a;17a;25
16;17;25
17;17a;20
17;15_STAIRS;25
17a;26;35
18;19;35
18;21;35
18;22;45
18;23;35
18;24;35
19;20;30
20;21;30
22;23;30
23;24;30
24;25;35
24;26;35
25;28;35
26;27;25
26;29;45
27;28;25
27;29;45
28;29;40
29;30;95
29;SUNLEY_ROOM;70
30;31;40
30;32;95
32;33;75
32;37;65
33;34;95
34;35;45
35;36;40
36;37;35
36;38;40
36;40;40
38;39;35
39;CENTRAL_HALL;35
39;ANNENBERG_COURT;45
39;40;60
40;45;45
40;ANNENBERG_COURT;35
41;42;40
42;43;35
43;44;35
44;45;35
45;46;40
45;40;45
46;MAIN_VESTIBULE;55
46;ANNENBERG_COURT;45
51a;51;25
51a;15a;115
51;52;35
51;60;40
52;53;35
52;59;50
53;54;35
53;59;45
54;55;35
54;58;45
55;56;35
55;57;40
56;57;30
57;58;55
58;59;55
59;60;45
59;63;55
60;61;35
61;62;35
62;63;35
63;64;35
64;65;35
65;66;30
CENTRAL_HALL;SUNLEY_ROOM;45
CENTRAL_HALL;SHOP;35
CENTRAL_HALL;ANNENBERG_COURT;55
CENTRAL_HALL;EXIT_CENTRAL;30
CENTRAL_HALL;LIFT_LEVEL2_CENTRAL;30
SUNLEY_ROOM;SHOP;55
SHOP;MAIN_VESTIBULE;45
SHOP;EXIT_CENTRAL;40
MAIN_VESTIBULE;PORTICO;85
MAIN_VESTIBULE;EXIT_PORTICO;50
EXIT_PORTICO;PORTICO;35
ANNENBERG_COURT;LIFT_LEVEL2_EAST;30
LIFT_LEVEL2_WEST;SAINSBURY_LIFT;10
LIFT_LEVEL2_WEST;51;40
SAINSBURY_LIFT;51;40
SAINSBURY_LIFT;51a;45
AUDIO_GUIDE;51;25
21;22;85
LIFT_LEVEL2_WEST;LIFT_WC;160
PORTICO;LIFT_WC;180
LIFT_LEVEL2_WEST;LIFT_WC;160
LIFT_WC;LOWER_SHOP;35
LOWER_SHOP;LOCATELLI;55
LOCATELLI;WC_MAL;35
LOCATELLI;WC_FEM;35
WC_MAL;WC_FEM;20
WC_FEM;WC_ACC;25
WC_ACC;BB_CHANGE;20
BB_CHANGE;LIFT_WC;25



