id;name;x;y
1;Room 1 - Stubbs: Portrait of a Horse;495;381
2;Room 2 - Power Patronage and Politics: Painting in Florence and Rome 1500-1600;459;362
4;Room 4 - The Spectacle of Portraiture: European Painting 1500-1600;423;361
5;Room 5 - City and Court: Northern Italian Painting 1500-1600;423;312
6;Room 6 - Design Colour and Invention: Central Italian Painting 1500-1575;385;363
7;Room 7 - Paintings for the Home: Italian Painting 1510-1525;355;383
8;Room 8 - Titian active about 1506 died 1576;322;349
9;Room 9 - Radical Innovation and Rivalry: Painting in Venice 1500-1600;323;279
10;Room 10 - Devotion by design: Italian Altarpieces around 1500;380;276
11;Room 11 - Portraits of Women;422;271
12;Room 12 - The Triumphs of Caesar;462;276
14;Room 14 - Intellectual Pursuits: Painting at the Northern Italian Courts 1450-1550;420;240
15;Room 15 - Artists Inspiring Artists;336;198
15a;Room 15a - Fine Painters;320;184
16;Room 16 - A New Art for a New Nation: Dutch Painting 1600-1700;303;212
17;Room 17 - Modern Subjects: Dutch Painting 1600-1700;300;187
17a;Room 17a - Deceiving the Eye: Dutch Perspectives around 1650;303;171
18;Room 18 - Peter Paul Rubens 1577-1640;336;119
19;Room 19 - Land and Water: Dutch Painting 1600-1700;295;145
20;Room 20 - A Different View of Flanders: Flemish Painting 1600-1650;296;117
21;Room 21 - Anthony van Dyck 1599-1641;295;92
22;Room 22 - Rembrandt 1606-1669;380;91
23;Room 23 - The Cradle of Dutch Painting: Haarlem 1600-1700;380;120
24;Room 24 - International Ambitions: Dutch and Flemish History Painting 1600-1700;380;147
25;Room 25 - Still Life: European Painting 1600-1900;422;147
26;Room 26 - Intimate Baroque: European Painting 1600-1700;368;169
27;Room 27 - The Italianate Landscape: European Painting 1600-1700;395;168
28;Room 28 - Flowers: Dutch and Flemish Painting 1600-1700;424;168
29;Room 29 - Making Paris a New Rome: French Painting 1600-1700;420;197
30;Room 30 - Power and Piety: Spanish Painting 1600-1700;532;199
31;Room 31 - Charles I and Henrietta Maria: A Royal Collection 1625-1649;529;159
32;Room 32 - Baroque Splendour: Italian Painting 1600-1700;639;196
33;Room 33 - City of Pleasure: Painting in Venice 1700-1800;725;197
34;Room 34 - A Distinct Style: British Painting 1740-1800;724;276
35;Room 35 - Rococo to Revolution: French Painting 1700-1800;680;276
36;Room 36 - Claude and Turner;637;276
37;Room 37 - The International 18th Century;640;236
38;Room 38 - The Academy: European Painting 1800-1850;595;275
39;Room 39 - Capturing the Landscape: European Painting 1650-1850;564;276
40;Room 40 - Turner Constable and Corot: British and French Landscape Painting 1800-1860;639;318
41;Room 41 - Early Impressionism: French Painting 1860-1880;738;348
42;Room 42 - Pastels;706;381
43;Room 43 - Van Gogh Gauguin and Post-Impressionism: French Painting 1880-1905;676;367
44;Room 44 - Post-Impressionism: French Painting 1850-1900;638;368
45;Room 45 - New Energies: Painting around 1900;602;368
46;Room 46 - Claude Monet 1840-1926;564;378
51a;Room 51a - The Burlington House Cartoon;188;243
51;Room 51 - The Wonder of Art: What Painting Can Do;191;261
52;Room 52 - Creating Illusion: Netherlandish Painting 1420-1480;200;300
53;Room 53 - Divine Encounters: Netherlandish Painting 1480-1520;200;328
54;Room 54 - Northern European Painting;200;356
55;Room 55 - Lines of Expression: German Painting 1400-1520;200;383
56;Room 56 - Looking at Nature: European Painting 1430-1540;194;410
57;Room 57 - Wonders of Design: Altarpieces in Florence 1400-1450;160;392
58;Room 58 - Lyrical Narrative: Painting in Siena 1300-1500;160;356
59;Room 59 - Architecture and Illusion: Painting in Ferrara Lombardy and the Veneto 1450-1500;160;316
60;Room 60 - Ambition and Innovation: Painting in Florence 1450-1500;160;264
61;Room 61 - Shaping the Renaissance Ideal: Raphael in Central Italy 1450-1500;125;264
62;Room 62 - The Family Palace: Painting in Florence 1400-1500;125;299
63;Room 63 - La Serenissima: Painting in Venice 1450-1500;125;332
64;Room 64 - Gold: European Painting 1260-1550;125;362
65;Room 65 - Piety and Passion: Italian Painting 1260-1350;127;383
66;Room 66 - Piero della Francesca 1415-1492;128;401

CENTRAL_HALL;Central Hall;532;277
MAIN_VESTIBULE;Main Vestibule;532;351
SUNLEY_ROOM;Sunley Room;469;240
SHOP;Shop / Portico Shop;472;312
15_STAIRS;Room 15 Stairs;328;166
ANNENBERG_COURT;Annenberg Court;594;312
PORTICO;Portico;531;455
EXIT_PORTICO;Exit - Portico;532;416
EXIT_CENTRAL;Exit - Central Hall;560;308
LIFT_LEVEL2_WEST;Lift - Level 2 West;235;252
LIFT_LEVEL2_CENTRAL;Lift - Level 2 Central;491;288
LIFT_LEVEL2_EAST;Lift - Level 2 East;576;338
TOILETS_WEST;Toilets - West;215;215
TOILETS_CENTRAL;Toilets - Central;502;270
SAINSBURY_LIFT;Sainsbury Wing Main Floor Lift;364;67
AUDIO_GUIDE;
